participant_id,iteration,fs,accuracy,CMA_accuracy
6507355f07adea6bb9abb279,2,0.5,69.19999999999999,70.3
6507355f07adea6bb9abb279,3,0.5,71.0,70.475
6507355f07adea6bb9abb279,4,0.5,71.6,70.7
6507355f07adea6bb9abb279,5,0.5,70.8,70.71666666666665
6507355f07adea6bb9abb279,6,0.5,71.2,70.78571428571429
6507355f07adea6bb9abb279,7,0.5,70.3,70.725
6507355f07adea6bb9abb279,8,0.5,70.7,70.72222222222223
6507355f07adea6bb9abb279,9,0.5,70.0,70.65
6507355f07adea6bb9abb279,10,0.5,70.3,70.61818181818181
6507355f07adea6bb9abb279,11,0.5,70.3,70.59166666666665
5eceef5fa487421604c337ba,0,0.5,71.2,71.2
5eceef5fa487421604c337ba,1,0.5,69.89999999999999,70.55
5eceef5fa487421604c337ba,2,0.5,71.7,70.93333333333334
5eceef5fa487421604c337ba,3,0.5,70.7,70.875
5eceef5fa487421604c337ba,4,0.5,71.89999999999999,71.08
5eceef5fa487421604c337ba,5,0.5,72.3,71.28333333333333
5eceef5fa487421604c337ba,6,0.5,70.39999999999999,71.15714285714286
5eceef5fa487421604c337ba,7,0.5,69.3,70.925
5eceef5fa487421604c337ba,8,0.5,70.39999999999999,70.86666666666666
5eceef5fa487421604c337ba,9,0.5,69.5,70.72999999999999
5eceef5fa487421604c337ba,10,0.5,71.1,70.76363636363637
5f600669b846780f0fe45709,0,0.5,71.5,71.5
5f600669b846780f0fe45709,1,0.5,70.5,71.0
605b98c83da1ded576bcf096,0,0.5,70.1,70.1
605b98c83da1ded576bcf096,1,0.5,70.7,70.4
605b98c83da1ded576bcf096,2,0.5,70.89999999999999,70.56666666666666
605b98c83da1ded576bcf096,3,0.5,70.7,70.6
605b98c83da1ded576bcf096,4,0.5,71.7,70.82000000000001
605b98c83da1ded576bcf096,5,0.5,70.5,70.76666666666667
605b98c83da1ded576bcf096,6,0.5,70.89999999999999,70.78571428571429
605b98c83da1ded576bcf096,7,0.5,70.7,70.775
605b98c83da1ded576bcf096,8,0.5,70.89999999999999,70.78888888888889
605b98c83da1ded576bcf096,9,0.5,70.8,70.78999999999999
605b98c83da1ded576bcf096,10,0.5,71.0,70.80909090909091
605b98c83da1ded576bcf096,11,0.5,70.0,70.74166666666666
60a2541c0e5a829853aad745,0,0.5,70.89999999999999,70.89999999999999
60a2541c0e5a829853aad745,1,0.5,69.1,70.0
60a2541c0e5a829853aad745,2,0.5,70.6,70.19999999999999
61684bae4ac887b438246ff6,0,0.5,70.1,70.1
61684bae4ac887b438246ff6,1,0.5,71.0,70.55
61684bae4ac887b438246ff6,2,0.5,70.39999999999999,70.5
61684bae4ac887b438246ff6,3,0.5,71.7,70.8
