participant_id,iteration,fs,consistency,counterfactual_CODE_GENDER,counterfactual_AGE,counterfactual_NAME_FAMILY_STATUS,CMA_consistency,CMA_counterfactual_CODE_GENDER,CMA_counterfactual_AGE,CMA_counterfactual_NAME_FAMILY_STATUS
60a3a03bc01ba594c9cca88d,10,0.5,0.6664,0.873,0.8927446808510628,0.944,0.6716636363636364,0.8714545454545455,0.8709845261121854,0.9365681818181819
60a3a03bc01ba594c9cca88d,11,0.5,0.6618,0.876,0.8854468085106392,0.931,0.6708416666666667,0.8718333333333333,0.8721897163120564,0.9361041666666666
60a3a03bc01ba594c9cca88d,12,0.5,0.6634,0.88,0.8777872340425529,0.933,0.6702692307692307,0.8724615384615385,0.8726202945990178,0.9358653846153846
60a3a03bc01ba594c9cca88d,13,0.5,0.6761,0.876,0.8877659574468085,0.936,0.6706857142857142,0.8727142857142857,0.8737021276595742,0.935875
60a3a03bc01ba594c9cca88d,14,0.5,0.6557,0.866,0.8633404255319149,0.9365,0.6696866666666668,0.8722666666666666,0.8730113475177302,0.9359166666666667
60a3a03bc01ba594c9cca88d,15,0.5,0.6627000000000001,0.885,0.8676170212765952,0.9405,0.66925,0.8730625,0.8726742021276593,0.936203125
60a3a03bc01ba594c9cca88d,16,0.5,0.6696,0.871,0.8719361702127663,0.9325,0.6692705882352942,0.8729411764705882,0.8726307884856068,0.9359852941176471
60a3a03bc01ba594c9cca88d,17,0.5,0.6693,0.879,0.8732553191489354,0.9385,0.6692722222222223,0.8732777777777777,0.8726654846335695,0.936125
60a3a03bc01ba594c9cca88d,18,0.5,0.6753,0.851,0.8787659574468077,0.92725,0.6695894736842106,0.8721052631578947,0.8729865621500558,0.9356578947368421
60a3a03bc01ba594c9cca88d,19,0.5,0.6713,0.852,0.8787021276595733,0.93775,0.669675,0.8711,0.8732723404255316,0.9357625
60a3a03bc01ba594c9cca88d,20,0.5,0.6701,0.878,0.88068085106383,0.93025,0.6696952380952381,0.8714285714285714,0.873625126646403,0.9355000000000001
60a3a03bc01ba594c9cca88d,21,0.5,0.6704,0.878,0.8789148936170196,0.94,0.6697272727272727,0.8717272727272728,0.8738655705996128,0.9357045454545454
60a3a03bc01ba594c9cca88d,22,0.5,0.6703,0.88,0.878978723404255,0.91525,0.6697521739130435,0.8720869565217392,0.874087881591119,0.9348152173913044
5fad5482f2e5c201d4a5cd76,0,0.5,0.6804,0.892,0.866148936170213,0.93925,0.6804,0.892,0.866148936170213,0.93925
5fad5482f2e5c201d4a5cd76,1,0.5,0.6747000000000001,0.853,0.8745744680851057,0.925,0.6775500000000001,0.8725,0.8703617021276594,0.9321250000000001
5fad5482f2e5c201d4a5cd76,2,0.5,0.6582000000000001,0.874,0.8742340425531903,0.93775,0.6711,0.8729999999999999,0.871652482269503,0.934
5fad5482f2e5c201d4a5cd76,3,0.5,0.6741,0.857,0.8672127659574461,0.92775,0.6718500000000001,0.869,0.8705425531914888,0.9324375
5fad5482f2e5c201d4a5cd76,4,0.5,0.6746000000000001,0.884,0.8612340425531909,0.9435,0.6724,0.8720000000000001,0.8686808510638292,0.9346500000000001
