participant_id,iteration,fs,consistency,counterfactual_CODE_GENDER,counterfactual_AGE,counterfactual_NAME_FAMILY_STATUS
605b98c83da1ded576bcf096,7,0.5,0.6554,0.878,0.8850212765957441,0.93175
605b98c83da1ded576bcf096,8,0.5,0.6588,0.895,0.8923829787234029,0.94325
605b98c83da1ded576bcf096,9,0.5,0.6794,0.875,0.8787234042553189,0.92875
605b98c83da1ded576bcf096,10,0.5,0.6852,0.883,0.8833829787234034,0.92875
605b98c83da1ded576bcf096,11,0.5,0.6684,0.885,0.8798297872340427,0.941
60a2541c0e5a829853aad745,0,0.5,0.6682999999999999,0.867,0.8587234042553192,0.93625
60a2541c0e5a829853aad745,1,0.5,0.6635,0.873,0.869702127659574,0.9355
60a2541c0e5a829853aad745,2,0.5,0.6757,0.874,0.8569999999999993,0.92375
61684bae4ac887b438246ff6,0,0.5,0.669,0.891,0.8752127659574457,0.939
61684bae4ac887b438246ff6,1,0.5,0.6747,0.848,0.8635744680851056,0.94275
61684bae4ac887b438246ff6,2,0.5,0.6751,0.877,0.8680851063829784,0.9355
61684bae4ac887b438246ff6,3,0.5,0.6674,0.872,0.8654893617021269,0.92125
61684bae4ac887b438246ff6,4,0.5,0.6693,0.874,0.8787021276595743,0.906
61684bae4ac887b438246ff6,5,0.5,0.6692,0.886,0.8560425531914881,0.907
61684bae4ac887b438246ff6,6,0.5,0.6618999999999999,0.878,0.8814893617021268,0.9255
61684bae4ac887b438246ff6,7,0.5,0.6736,0.863,0.8891702127659574,0.939
61684bae4ac887b438246ff6,8,0.5,0.677,0.864,0.8736595744680847,0.946
61684bae4ac887b438246ff6,9,0.5,0.6678,0.884,0.8631489361702124,0.92975
61684bae4ac887b438246ff6,10,0.5,0.6682999999999999,0.88,0.8679999999999992,0.9135
61684bae4ac887b438246ff6,11,0.5,0.6606000000000001,0.869,0.8769361702127652,0.944
61684bae4ac887b438246ff6,12,0.5,0.6749,0.883,0.8745319148936173,0.9305
6136cb52db0f1cb2262bbf5d,0,0.5,0.6569,0.858,0.8857659574468083,0.92425
6136cb52db0f1cb2262bbf5d,1,0.5,0.6608,0.869,0.8722553191489356,0.9355
6136cb52db0f1cb2262bbf5d,2,0.5,0.6618999999999999,0.878,0.8602127659574468,0.92925
6136cb52db0f1cb2262bbf5d,3,0.5,0.6801999999999999,0.881,0.8649787234042533,0.915
5c8bafb53b6f3d00013d7c30,0,0.5,0.6569,0.858,0.8857659574468083,0.92425
