participant_id,iteration,fs,consistency,counterfactual_CODE_GENDER,counterfactual_AGE,counterfactual_NAME_FAMILY_STATUS,CMA_consistency,CMA_counterfactual_CODE_GENDER,CMA_counterfactual_AGE,CMA_counterfactual_NAME_FAMILY_STATUS
60ddc4cc0a3f074060092937,10,0.5,0.6631,0.871,0.8676595744680844,0.904,0.6653181818181818,0.8701818181818181,0.8686924564796901,0.9143409090909091
60ddc4cc0a3f074060092937,11,0.5,0.6596,0.878,0.863851063829787,0.91925,0.6648416666666667,0.8708333333333332,0.8682890070921983,0.9147500000000001
63ced242b56ce9d796f4398b,0,0.5,0.6705,0.896,0.8795319148936174,0.93975,0.6705,0.896,0.8795319148936174,0.93975
63ced242b56ce9d796f4398b,1,0.5,0.6640999999999999,0.863,0.8697234042553187,0.91725,0.6673,0.8795,0.874627659574468,0.9285
63ced242b56ce9d796f4398b,2,0.5,0.6746000000000001,0.859,0.8911914893617022,0.94325,0.6697333333333333,0.8726666666666666,0.8801489361702127,0.9334166666666667
6116920ff5bcc6aa24f00927,0,0.5,0.6753,0.871,0.8578510638297873,0.93075,0.6753,0.871,0.8578510638297873,0.93075
6116920ff5bcc6aa24f00927,1,0.5,0.6757,0.863,0.8700638297872336,0.93175,0.6755,0.867,0.8639574468085105,0.9312499999999999
6116920ff5bcc6aa24f00927,2,0.5,0.6688000000000001,0.887,0.8741063829787227,0.93375,0.6732666666666667,0.8736666666666667,0.8673404255319145,0.9320833333333333
6116920ff5bcc6aa24f00927,3,0.5,0.6558999999999999,0.871,0.8700638297872336,0.9355,0.668925,0.873,0.8680212765957442,0.9329375
6116920ff5bcc6aa24f00927,4,0.5,0.6861,0.874,0.8755106382978716,0.93425,0.6723600000000001,0.8732,0.8695191489361698,0.9332
6116920ff5bcc6aa24f00927,5,0.5,0.6793,0.872,0.8778936170212753,0.93375,0.6735166666666667,0.8729999999999999,0.8709148936170207,0.9332916666666667
6116920ff5bcc6aa24f00927,6,0.5,0.6666000000000001,0.879,0.8790638297872334,0.9375,0.6725285714285715,0.8738571428571429,0.8720790273556226,0.9338928571428572
5d9b4e21b56c51035c35cb3d,0,0.5,0.6682999999999999,0.867,0.8587234042553192,0.93625,0.6682999999999999,0.867,0.8587234042553192,0.93625
5d9b4e21b56c51035c35cb3d,1,0.5,0.6741,0.853,0.858042553191489,0.94075,0.6712,0.86,0.8583829787234041,0.9385
5d9b4e21b56c51035c35cb3d,2,0.5,0.6659999999999999,0.86,0.8691914893617008,0.925,0.6694666666666667,0.86,0.8619858156028363,0.934
5d9b4e21b56c51035c35cb3d,3,0.5,0.6635,0.885,0.8681063829787227,0.94325,0.667975,0.86625,0.8635159574468079,0.9363125
5d9b4e21b56c51035c35cb3d,4,0.5,0.6575,0.859,0.8685957446808504,0.93225,0.6658799999999999,0.8648,0.8645319148936164,0.9355
5d9b4e21b56c51035c35cb3d,5,0.5,0.6676,0.863,0.8733617021276591,0.931,0.6661666666666667,0.8645,0.8660035460992902,0.9347500000000001
5d9b4e21b56c51035c35cb3d,6,0.5,0.6604,0.88,0.8659574468085096,0.9265,0.6653428571428571,0.8667142857142858,0.8659969604863216,0.9335714285714286
